UNITID,INSTNM,CITY,STABBR,ZIP,ADM_RATE,UGDS,TUITIONFEE_IN,MN_EARN_WNE_P10
161651,Aesthetics Institute of Cosmetology,Gaithersburg,MD,20877,,25.0,,
161688,Allegany College of Maryland,Cumberland,MD,21502-2596,,1990.0,3940.0,
161767,Anne Arundel Community College,Arnold,MD,21012-1895,,11294.0,4646.0,
161776,Brightwood College-Towson,Towson,MD,21286-2201,,309.0,,
161800,Award Beauty School,Hagerstown,MD,21740-5610,,157.0,,
161855,Baltimore Studio of Hair Design,Baltimore,MD,21201-3444,,46.0,,
161864,Baltimore City Community College,Baltimore,MD,21215-7893,,3797.0,3074.0,
161873,University of Baltimore,Baltimore,MD,21201-5720,0.8099,2856.0,8824.0,
162007,Bowie State University,Bowie,MD,20715-9465,0.36,5107.0,8064.0,
162061,Capitol Technology University,Laurel,MD,20708,0.7473,421.0,24788.0,
162104,Cecil College,North East,MD,21901-1900,,2112.0,4005.0,
162122,College of Southern Maryland,La Plata,MD,20646-0910,,6699.0,3690.0,
162168,Chesapeake College,Wye Mills,MD,21679-0008,,1744.0,3818.0,
162210,Washington Adventist University,Takoma Park,MD,20912,0.6139,750.0,23400.0,
162283,Coppin State University,Baltimore,MD,21216-3698,0.3651,2459.0,7474.0,
162335,Delmarva Beauty Academy,Salisbury,MD,21804-6952,,51.0,,
162371,North American Trade Schools,Baltimore,MD,21244,,448.0,,
162557,Frederick Community College,Frederick,MD,21702-2964,,4830.0,3520.0,
162584,Frostburg State University,Frostburg,MD,21532-1099,0.7229,4486.0,8914.0,
162609,Garrett College,McHenry,MD,21541,,532.0,3948.0,
162654,Goucher College,Baltimore,MD,21204-2794,0.7884,1526.0,43440.0,
162681,Purdue University Global-Hagerstown,Hagerstown,MD,21742,,470.0,14263.0,
162690,Hagerstown Community College,Hagerstown,MD,21742-6514,,3181.0,3616.0,
162706,Harford Community College,Bel Air,MD,21015-1698,,5018.0,3643.0,
162760,Hood College,Frederick,MD,21701,0.8113,1108.0,37960.0,
162779,Howard Community College,Columbia,MD,21044-3197,,8943.0,3888.0,
162830,Aveda Institute-Maryland,Bel Air,MD,21014-3639,,37.0,,
162928,Johns Hopkins University,Baltimore,MD,21218-2688,0.1254,5663.0,52170.0,
163028,Lincoln College of Technology-Columbia,Columbia,MD,21046,,569.0,,
163046,Loyola University Maryland,Baltimore,MD,21210-2699,0.7528,3903.0,47560.0,
163204,University of Maryland Global Campus,Adelphi,MD,20783-8010,,42289.0,7296.0,
163259,University of Maryland Baltimore,Baltimore,MD,21201-1627,,918.0,,
163268,University of Maryland-Baltimore County,Baltimore,MD,21250,0.6021,11130.0,11518.0,
163286,University of Maryland-College Park,College Park,MD,20742,0.445,29273.0,10399.0,
163295,Maryland Institute College of Art,Baltimore,MD,21217-4134,0.6161,1743.0,46990.0,
163338,University of Maryland Eastern Shore,Princess Anne,MD,21853-1299,0.3901,2799.0,8042.0,
163347,Fortis Institute-Towson,Towson,MD,21204-9840,,412.0,,
163408,Montgomery Beauty School,Silver Spring,MD,20901,,120.0,,
163426,Montgomery College,Rockville,MD,20850,,18915.0,4974.0,
